prefix_path;git_remote_url;git_branch
plugins/data/parser/json/mxj;https://github.com/clbanning/mxj;master
plugins/data/parser/json/gabs;https://github.com/Jeffail/gabs;master
plugins/data/parser/json/gjson;https://github.com/tidwall/gjson;master
plugins/data/parser/json/lazyjson;https://github.com/qw4990/lazyjson;master
plugins/data/parser/json/fastjson;https://github.com/valyala/fastjson;master
plugins/data/parser/json/ffjson;https://github.com/pquerna/ffjson;master
plugins/data/parser/json/easyjson;https://github.com/mailru/easyjson;master
plugins/data/parser/json/jsonparser;https://github.com/buger/jsonparser;master
plugins/data/parser/json/djson;https://github.com/a8m/djson;master
plugins/data/parser/json/jsnm;https://github.com/toukii/jsnm;master
plugins/data/parser/json/jsonstream;https://github.com/pb-/jsonstream;master
plugins/data/parser/json/jsonez;https://github.com/srikanth2212/jsonez;master
plugins/data/transform/json2schema;https://github.com/HamiTrip/json2schema;master
plugins/data/transform/json2neo;https://github.com/HamiTrip/json2neo;master
plugins/data/browser/cli/jsonui;https://github.com/gulyasm/jsonui;master
plugins/data/browser/web/boltdbui;https://github.com/dracher/boltdbui;master
plugins/data/browser/web/boltbrowser;https://github.com/ShoshinNikita/boltBrowser;;master
plugins/data/browser/cli/boltbrowser;https://github.com/br0xen/boltbrowser;master
plugins/data/browser/web/e3w;https://github.com/soyking/e3w;;master
plugins/client/etcd/e3ch;https://github.com/soyking/e3ch;master
plugins/client/boltdb/boltease;https://github.com/br0xen/boltease;master
